acc,acc_last_visited
common,icons_in_typed_lists_info
common,if_no_title_then_url
common,il_chat_moderator_moderate
common,il_chat_moderator_read
common,il_chat_moderator_visible
common,il_chat_moderator_write
common,ilias_and_webfolder_username
common,ilias_username
common,image_gen_unsucc
common,import_alm
common,import_forum_finished
common,import_glossary
common,import_grp
common,import_grp_finished
common,import_root_user
common,import_spl
common,info_accessFree_sure
common,info_enter_login_or_id
common,info_trash
common,information_abbr
common,inifile
common,input_error
common,invoice_number
common,invoice_number_reset_period
common,invoice_number_reset_period_desc
common,invoice_number_setting
common,itgr_copy
common,itgr_import
common,java_server_no_connection
common,lang_version
common,last_visit
common,ldap_edit_permission
common,ldap_login_key
common,ldap_objectclass
common,ldap_passwd
common,ldap_search_base
common,ldap_v2
common,ldap_v3
common,ldap_visible
common,ldap_write
common,learning_objects
common,learning_resourc
common,link_check_body_top
common,link_dynamic_info
common,linked_object
common,linked_pages
common,links_not_available
common,list_of_pages
common,literature
common,literature_bookmarks
common,lm_a
common,lm_create
common,lm_join
common,lm_leave
common,lm_type_aicc
common,lm_type_hacp
common,lo_available
common,lo_categories
common,lo_edit
common,lo_new
common,lo_no_content
common,lo_other_langs
common,lo_overview
common,lock_file
common,logic_and
common,login_time
common,login_to_ilias_via_openid
common,los
common,los_last_visited
common,mail_a_root
common,mail_allow_smtp
common,mail_delete_error_file
common,mail_feedback
common,mail_import
common,mail_intern_enable
common,mail_maxsize_box
common,mail_maxsize_mail
common,mail_maxtime_attach
common,mail_maxtime_mail
mail,mail_multiple_recipients_found
mail,mail_no_recipient_found
common,mail_no_valid_group_role
common,mail_search_courses_not_found
common,mail_search_groups_not_found
common,mail_search_word
common,mail_system
common,main_menu_frame
common,manage_tracking_data
common,mark_all_read
common,mark_all_unread
common,max_number_rec
common,max_time
common,mem_view_deactivate
common,membership_annulled
common,mep_added
common,message_to
common,migrate
common,min_time
common,mm_dd_yyyy
common,mod_rewrite_disabled
common,move_blocks
common,move_down
common,move_left
common,move_right
common,move_to
common,move_up
common,move_users_to_style
common,msg_changes_ok
common,msg_deleted_roles
common,msg_deleted_rolt
common,msg_deleted_rolts
common,msg_error_copy
common,msg_input_either_file_or_url
common,msg_invalid_filetype
common,msg_min_one_active_role
common,msg_no_perm_create
common,msg_no_perm_create_object1
common,msg_no_perm_create_object2
common,msg_no_perm_create_role
common,msg_no_perm_create_rolf
common,msg_no_perm_create_user
common,msg_no_perm_delete_track
common,msg_no_perm_modify_role
common,msg_no_perm_read_track
common,msg_no_perm_undelete
common,msg_no_rolf_allowed1
common,msg_no_rolf_allowed2
common,msg_no_scan_log
common,msg_no_sysadmin_sysrole_not_assignable
common,msg_no_type_accessible
common,msg_no_type_available
common,msg_no_url
common,msg_nothing_found
common,msg_role_exists1
common,msg_role_exists2
common,msg_roleassignment_active_changed
common,msg_roleassignment_active_changed_comment
common,msg_wrong_filetype
common,multimedia
common,my_frms
common,my_grps
common,my_los
common,my_tsts
common,new_appointment
common,new_customer
common,new_customer_info
common,new_folder
common,new_group
common,new_list_password
common,new_lowercase
common,new_mail
common,nickname
common,no_access_link_object
common,no_bm_in_personal_list
common,no_chat_in_personal_list
common,no_conditions_found
common,no_datasets
common,no_description
common,no_frm_in_personal_list
common,no_grp_in_personal_list
common,no_import_available
common,no_invalid_links
common,no_lo_in_personal_list
common,no_local_users
common,no_objects
common,no_permission_to_join
common,no_submission_made
common,no_tst_in_personal_list
common,no_user_defined_fields_defined
common,no_users_applied
common,no_zip_file
common,not_accessed
common,not_accessed_yet
common,not_enabled_or_configured
common,note_all_pub_notes
common,note_my_pub_notes
common,nr_following_sessions
common,number_of_accesses
common,number_of_records
common,obj_alm
common,obj_calendar
common,obj_cat_select
common,obj_cen
common,obj_chac
common,obj_chac_desc
common,obj_chat
common,obj_chtr_duplicate
common,obj_crs_select
common,obj_dcl_dupliate
common,obj_exc_duplicate
common,obj_exc_select
